tts_sysno,c_textid,c_personid,c_role_id,c_year,c_nh_code,c_nh_year,c_range_code,c_source,c_pages,c_secondary_source_author,c_notes,c_created_by,c_created_date,c_modified_by,c_modified_date
8112,9975,20647,0,-1,0,-1,0,0,0000000,,,load,20100825,,
3665,5585,20668,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
6712,8607,20668,0,-1,0,-1,0,,0000000,,,BDDWJ,20070708,BDDWJ,20070708
6713,8608,20668,0,-1,0,-1,0,,0000000,,,BDDWJ,20070708,BDDWJ,20070708
6714,8609,20668,0,-1,0,-1,0,,0000000,,,BDDWJ,20070708,BDDWJ,20070708
3737,5658,20864,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
3738,5659,20864,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
6961,8855,20864,0,-1,0,-1,0,,0000000,,,BDSYX,20071103,,
6962,8856,20864,0,-1,0,-1,0,,0000000,,,BDSYX,20071103,,
6963,8857,20864,0,-1,0,-1,0,,0000000,,,BDSYX,20071103,BDSYX,20071103
6964,8858,20864,0,-1,0,-1,0,,0000000,,,BDSYX,20071103,,
10256,12116,20864,0,-1,0,-1,0,,0000000,,,load,20100825,,
10257,12117,20864,0,-1,0,-1,0,,0000000,,,load,20100825,,
,5658,20864,1,,,,,40328,3-29,,,load,20220113,,
3736,5657,20866,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
6932,8826,20866,0,-1,0,-1,0,,0000000,,,BDSYX,20071020,,
10258,12118,20866,0,-1,0,-1,0,,0000000,,,load,20100825,,
6920,8814,20868,0,-1,0,-1,0,,0000000,,,BDSYX,20071013,,
6921,8815,20868,0,-1,0,-1,0,,0000000,,,BDSYX,20071013,,
7075,8970,20868,0,-1,0,-1,0,,0000000,,,BDGLW,20080111,BDGLW,20080111
10259,12119,20868,0,-1,0,-1,0,,0000000,,,load,20100825,,
10260,12120,20868,0,-1,0,-1,0,,0000000,,,load,20100825,,
,39540,20868,1,,,,,,,,,load,20181206,,
,39541,20868,1,,,,,,,,,load,20181206,,
,39542,20868,1,,,,,,,,,load,20181206,,
,39815,20868,1,,,,,,,,,load,20181206,,
,39816,20868,1,,,,,,,,,load,20181206,,
,39817,20868,1,,,,,,,,,load,20181206,,
23135,24623,20876,0,-1,0,-1,0,,0000000,,,load,20100825,,
24408,25770,20876,0,-1,0,-1,0,,0000000,,,load,20100825,,
23812,25232,20877,0,-1,0,-1,0,,0000000,,,load,20100825,,
25429,26740,20877,0,-1,0,-1,0,,0000000,,,load,20100825,,
,52983,20877,1,,,,,40328,1094-1120,,,load,20220113,,
,52984,20877,1,,,,,40328,1094-1120,,,load,20220113,,
,52985,20877,1,,,,,40328,1094-1120,,,load,20220113,,
23027,24521,20878,0,-1,0,-1,0,,0000000,,,load,20100825,,
23910,25322,20878,0,-1,0,-1,0,,0000000,,,load,20100825,,
6322,8218,20901,0,-1,0,-1,0,0,0000000,,,TTS,20070312,,
3761,5682,20910,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
5983,7878,20910,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
5984,7879,20910,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
5985,7880,20910,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
9485,11345,20910,0,-1,0,-1,0,,0000000,,,load,20100825,,
,53421,20910,1,,,,,40328,1120-1128,,,load,20220113,,
,5682,20910,3,,,,,40328,134-136,,,load,20220113,,
5752,7651,20913,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
5764,7663,21180,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
5765,7664,21180,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
8622,10485,21180,0,-1,0,-1,0,,0000000,,,load,20100825,,
,50798,21189,1,,,,,40328,960-978,,,load,20220113,,
,50799,21189,1,,,,,40328,960-978,,,load,20220113,,
,50800,21189,1,,,,,40328,960-978,,,load,20220113,,
,50801,21189,1,,,,,40328,960-978,,,load,20220113,,
,3966,21190,1,,,,,40328,112-113,,,load,20220113,,
,41826,21190,1,,,,,40328,78-81,,,load,20220113,,
,42292,21190,1,,,,,40328,103-109,,,load,20220113,,
,42293,21190,1,,,,,40328,103-109,,,load,20220113,,
,42296,21190,1,,,,,40328,103-109,,,load,20220113,,
,42297,21190,1,,,,,40328,103-109,,,load,20220113,,
,42298,21190,1,,,,,40328,103-109,,,load,20220113,,
,42299,21190,1,,,,,40328,103-109,,,load,20220113,,
,42415,21190,1,,,,,40328,109-112,,,load,20220113,,
,42420,21190,1,,,,,40328,109-112,,,load,20220113,,
,42441,21190,1,,,,,40328,112-113,,,load,20220113,,
,42442,21190,1,,,,,40328,112-113,,,load,20220113,,
,42455,21190,1,,,,,40328,113,,,load,20220113,,
2037,3962,21194,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
2038,3963,21194,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
23656,25082,21194,0,-1,0,-1,0,,0000000,,,load,20100825,,
